,id,member_id,loan_amnt,funded_amnt,funded_amnt_inv,Term in Months,int_rate,installment,grade,sub_grade,emp_title,emp_length,home_ownership,annual_inc,verification_status,issue_d,loan_status,purpose,title,zip_code,addr_state,dti,delinq_2yrs,earliest_cr_line,inq_last_6mths,mths_since_last_delinq,mths_since_last_record,open_acc,pub_rec,revol_bal,revol_util,total_acc,out_prncp,out_prncp_inv,total_pymnt,total_pymnt_inv,total_rec_prncp,total_rec_int,total_rec_late_fee,recoveries,collection_recovery_fee,last_pymnt_d,last_pymnt_amnt,next_pymnt_d,last_credit_pull_d,acc_now_delinq,delinq_amnt,pub_rec_bankruptcies
5643,981929,1205316,30000,30000,30000.0,60,22.06%,829.6,F,F4,FAA,10+ years,MORTGAGE,160000.0,Verified,Oct-11,Charged Off,debt_consolidation,consolidation,935xx,CA,18.95,0,Sep-90,1,0,0,19,0,52764,82.90%,57,0.0,0.0,37610.61,37610.61,20069.74,16032.82,41.48,1466.57,261.0666,Dec-14,829.6,,May-15,0,0,0.0
5653,981989,1205173,30750,30750,30725.0,60,22.35%,855.42,F,F5,Boeing Commercial Airplanes,< 1 year,RENT,77000.0,Verified,Oct-11,Charged Off,debt_consolidation,Debt Consolidation,980xx,WA,23.47,0,May-02,3,0,0,3,0,10336,65.80%,8,0.0,0.0,24483.78,24463.98,8870.67,12457.57,0.0,3155.54,31.44109999,Dec-13,855.42,,May-14,0,0,0.0
5654,981878,1203600,16400,16400,16400.0,60,16.77%,405.56,D,D2,NYC transit authority,10+ years,MORTGAGE,75000.0,Verified,Oct-11,Charged Off,debt_consolidation,Consolidate debt,103xx,NY,9.38,0,Apr-97,2,0,0,16,0,69461,47.30%,37,0.0,0.0,4461.15,4461.15,2066.95,2394.2,0.0,0.0,0.0,Oct-12,32.81,,Apr-16,0,0,0.0
5655,980105,1203281,18000,18000,17975.0,60,12.42%,404.24,B,B4,CP Rochester,1 year,OWN,30000.0,Verified,Oct-11,Charged Off,other,debt consolidation,146xx,NY,4.4,0,Jun-90,1,55,0,7,0,3099,25.60%,21,0.0,0.0,8240.66,8229.24,3013.03,2236.89,0.0,2990.74,250.8516,Nov-12,404.24,,May-16,0,0,0.0
5656,981976,1205161,8400,8400,8400.0,36,14.65%,289.76,C,C3,Aim directional services,4 years,MORTGAGE,100000.0,Not Verified,Oct-11,Charged Off,debt_consolidation,Debt Consolidation Loan,774xx,TX,18.16,0,Jun-02,1,0,0,9,0,23233,88.50%,15,0.0,0.0,2003.09,2003.09,1149.68,585.41,14.96392047,253.04,2.9,May-12,289.76,,Sep-12,0,0,0.0
5660,975156,1198061,35000,35000,35000.0,60,21.28%,952.39,F,F2,ING,6 years,MORTGAGE,128000.0,Verified,Oct-11,Charged Off,debt_consolidation,home improvement debt consolidaton,300xx,GA,16.45,0,Jul-93,1,0,0,23,0,65515,86.90%,55,0.0,0.0,28444.75,28444.75,4801.54,7577.19,0.0,16066.02,1225.2456,Nov-12,952.39,,Mar-13,0,0,0.0
5661,981695,1204864,21600,21600,21600.0,36,13.49%,732.9,C,C1,Hyatt Hotels  and  Resorts,5 years,RENT,60000.0,Source Verified,Oct-11,Charged Off,debt_consolidation,Clearing cards,021xx,MA,9.66,0,Jun-05,1,0,0,10,0,10810,38.50%,15,0.0,0.0,1922.8,1922.8,489.37,242.47,0.0,1190.96,214.3728,Nov-11,732.9,,Apr-12,0,0,0.0
5663,981482,1204656,35000,35000,35000.0,60,13.49%,805.17,C,C1,Diamond Personnel,< 1 year,MORTGAGE,80000.0,Source Verified,Oct-11,Charged Off,medical,surgery loan,115xx,NY,10.92,0,Sep-93,2,0,0,13,0,23563,45.10%,31,0.0,0.0,804.22,804.22,411.23,392.99,0.0,0.0,0.0,Nov-11,805.17,,May-16,0,0,0.0
5666,981750,1204920,35000,35000,35000.0,60,20.30%,933.14,E,E5,LIK Managment,2 years,MORTGAGE,81600.0,Verified,Oct-11,Charged Off,debt_consolidation,Personal,190xx,PA,15.29,0,Apr-98,1,0,0,17,0,26436,76%,44,0.0,0.0,7463.94,7463.94,2888.69,4558.67,0.0,16.58,0.0,Jun-12,933.14,,May-16,0,0,0.0
5670,936915,1157666,35000,35000,35000.0,36,18.64%,1276.6,E,E1,Plug & Pay Technologies Inc.,10+ years,RENT,270000.0,Verified,Oct-11,Charged Off,debt_consolidation,debtcon,117xx,NY,8.59,0,Mar-00,1,0,0,8,0,13486,62.40%,20,0.0,0.0,37414.09,37414.09,26055.47,10066.53,0.0,1292.09,12.69289999,Mar-14,1276.6,,Jul-14,0,0,0.0
5674,967974,1188914,15000,15000,15000.0,60,19.91%,396.66,E,E4,Fauquier County,2 years,MORTGAGE,61000.0,Not Verified,Oct-11,Charged Off,credit_card,Debt Consolidation ,229xx,VA,18.12,0,Jul-87,2,57,0,11,0,33026,95.20%,31,0.0,0.0,10564.51,10564.51,3084.18,5846.64,38.9594837,1594.73,287.0514,Jan-14,390.53,,Jan-14,0,0,0.0
5689,981667,1204834,8500,8500,8500.0,36,14.65%,293.21,C,C3,Bay Harbor Sheet Metal,5 years,MORTGAGE,45000.0,Not Verified,Oct-11,Charged Off,debt_consolidation,High Interest Credit Card consolidation,335xx,FL,21.47,0,Nov-06,2,0,0,9,0,12765,48.90%,12,0.0,0.0,4146.21,4146.21,2645.64,1157.77,0.0,342.8,3.39,Nov-12,293.21,,Apr-13,0,0,0.0
5701,936206,1156957,25000,25000,25000.0,60,18.25%,638.25,D,D5,Alliance Industries,10+ years,MORTGAGE,62000.0,Verified,Oct-11,Charged Off,debt_consolidation,Consolidated Loan,261xx,WV,18.64,0,Mar-98,1,0,0,12,0,14523,81.60%,42,0.0,0.0,15955.85,15955.85,7754.57,8201.28,0.0,0.0,0.0,Dec-13,51.0,,May-16,0,0,0.0
5707,974536,1196827,19200,19200,19200.0,60,11.71%,424.29,B,B3,Festoon,1 year,RENT,48000.0,Verified,Oct-11,Charged Off,small_business,Recession-friendly Loan,941xx,CA,5.55,0,Jan-05,0,0,0,8,0,11210,37.40%,19,0.0,0.0,11583.91,11583.91,6066.44,3676.36,0.0,1841.11,18.2524,Sep-13,424.29,,Feb-14,0,0,0.0
5710,980996,1204191,8000,8000,8000.0,36,14.27%,274.48,C,C2,ATEN Technology,5 years,MORTGAGE,66000.0,Not Verified,Oct-11,Charged Off,home_improvement,Home Improvement,907xx,CA,2.11,0,Oct-81,1,49,0,11,0,0,0%,18,0.0,0.0,6037.92,6037.92,4459.9,1578.02,0.0,0.0,0.0,Sep-13,26.62,,Feb-14,0,0,0.0
5711,980494,1203685,16000,16000,16000.0,60,19.91%,423.11,E,E4,Central Ohio Geriatrics,1 year,RENT,215000.0,Source Verified,Oct-11,Charged Off,other,Other Loan,430xx,OH,13.99,0,Dec-89,0,51,0,11,0,7567,95.80%,21,0.0,0.0,5517.16,5517.16,2264.11,3231.9,21.14499681,0.0,0.0,Nov-12,444.27,,May-16,0,0,0.0
5713,979169,1202031,13200,13200,13200.0,60,14.27%,309.0,C,C2,,,MORTGAGE,40000.0,Verified,Oct-11,Charged Off,debt_consolidation,Debt Consolidation Loan,061xx,CT,5.19,0,Jan-00,0,0,0,8,0,5663,52.10%,21,0.0,0.0,9579.0,9579.0,5646.16,3911.0,0.0,21.84,0.0,May-14,309.0,,Apr-16,0,0,0.0
5716,980312,1203495,2000,2000,2000.0,36,7.51%,62.23,A,A3,Southbay Respite,4 years,RENT,18000.0,Not Verified,Oct-11,Charged Off,other,Personal Loan,919xx,CA,16.73,0,Jul-04,0,0,0,5,0,2925,33.20%,20,0.0,0.0,89.89,89.89,0.0,0.0,0.0,89.89,0.87,,0.0,,Mar-12,0,0,0.0
5718,979287,1202366,25000,25000,25000.0,60,22.35%,695.46,F,F5,LBUSD/Jefferson Middle School,6 years,MORTGAGE,100000.0,Verified,Oct-11,Charged Off,credit_card,consolidate loans,926xx,CA,11.84,0,Jul-99,0,60,0,10,0,26152,83%,19,0.0,0.0,4858.35,4858.35,1698.13,3160.22,0.0,0.0,0.0,May-12,695.46,,Apr-16,0,0,0.0
5720,980378,1203561,16000,16000,15900.0,60,19.03%,415.32,E,E2,US Deparment of Labor,8 years,RENT,70720.0,Verified,Oct-11,Charged Off,small_business,Childcare Business,481xx,MI,5.35,0,Nov-98,1,0,0,4,0,31589,98.70%,14,0.0,0.0,3015.53,2996.66,1005.14,1477.78,0.0,532.61,5.52,Apr-12,415.32,,Sep-12,0,0,0.0
5722,980293,1203473,20000,20000,20000.0,60,21.28%,544.23,F,F2,City of Rock Island,10+ years,MORTGAGE,74000.0,Verified,Oct-11,Charged Off,debt_consolidation,Debt consolidation,612xx,IL,22.69,0,Mar-94,1,46,0,11,0,25483,79.90%,41,0.0,0.0,15796.21,15796.21,4771.64,8531.78,27.18453903,2465.61,90.9952,Mar-14,382.0,,Mar-14,0,0,0.0
5724,897153,1117704,24000,24000,24000.0,60,21.67%,658.36,F,F3,Sylacauga City Board of Education,10+ years,RENT,65642.0,Verified,Oct-11,Charged Off,credit_card,Out of debt,351xx,AL,19.03,0,Mar-88,0,81,0,16,0,21669,73.20%,33,0.0,0.0,29237.32,29237.32,11682.06,12634.57,0.0,4920.69,878.04,Dec-14,658.36,,May-16,0,0,0.0
5726,980289,1088994,12000,12000,11900.0,36,12.69%,402.54,B,B5,"University of California, Davis",3 years,RENT,64000.0,Verified,Oct-11,Charged Off,debt_consolidation,Debt Consolidation Loan,946xx,CA,24.53,0,Dec-04,1,0,0,5,0,5276,21.20%,6,0.0,0.0,13800.73,13685.4,11164.85,2465.72,0.0,170.16,1.143699994,Aug-14,402.54,,Jan-15,0,0,0.0
5730,918960,1139511,6000,6000,6000.0,36,11.71%,198.46,B,B3,lifespan,6 years,RENT,47000.0,Not Verified,Oct-11,Charged Off,credit_card,Credit Card Loan,029xx,RI,19.69,0,Oct-02,1,0,0,19,0,15029,28.80%,27,0.0,0.0,6549.18,6549.18,5407.42,1130.84,0.0,10.92,0.0,Jul-14,198.46,,Apr-16,0,0,0.0
5742,980033,1203201,35000,35000,34925.0,60,22.74%,981.45,G,G1,Raytheon,4 years,MORTGAGE,113500.0,Verified,Oct-11,Charged Off,debt_consolidation,Debt Consolidatiion,925xx,CA,23.25,0,May-90,1,0,116,19,1,26345,97.20%,39,0.0,0.0,14713.05,14681.55,5457.99,9255.06,0.0,0.0,0.0,Jan-13,981.45,,May-16,0,0,1.0
5753,976577,1199336,21800,21800,21700.0,60,21.28%,593.21,F,F2,Citrix Inc.,4 years,MORTGAGE,140000.0,Verified,Oct-11,Charged Off,house,South Florida Property,330xx,FL,1.46,0,Nov-07,1,0,0,16,0,7239,23.70%,26,0.0,0.0,18749.95,18663.94,13965.64,4335.61,0.0,448.7,5.52,Jan-13,593.21,,Jun-13,0,0,0.0
5772,979704,1202862,19200,19200,19200.0,60,18.25%,490.17,D,D5,Mission Hospital ,2 years,RENT,75000.0,Source Verified,Oct-11,Charged Off,debt_consolidation,kelly,926xx,CA,21.92,0,Jun-99,2,0,0,10,0,20129,94.60%,39,0.0,0.0,15402.21,15402.21,808.56,1785.61,24.50714269,12783.53,2303.2,Jun-12,150.0,,May-16,0,0,0.0
5774,979689,1202847,18000,18000,18000.0,36,7.51%,560.0,A,A3,"Intransa, Inc",7 years,RENT,115000.0,Verified,Oct-11,Charged Off,other,Funeral,945xx,CA,12.22,0,Apr-96,0,0,0,9,0,19871,65.50%,31,0.0,0.0,12319.15,12319.15,10495.01,1800.13,0.0,24.01,0.0,Aug-13,560.0,,May-16,0,0,0.0
5775,979881,1203039,20000,20000,20000.0,60,16.77%,494.59,D,D2,,2 years,MORTGAGE,250000.0,Verified,Oct-11,Charged Off,small_business,Mobile App Development Business,604xx,IL,9.22,0,Nov-98,1,48,0,12,0,50892,35.60%,36,0.0,0.0,14774.67,14774.67,5758.47,5566.42,22.44346383,3427.33,616.9194,Sep-13,494.59,,Dec-13,0,0,0.0
5782,979666,1202823,30000,30000,30000.0,60,22.74%,841.24,G,G1,Halliburton,10+ years,MORTGAGE,144000.0,Verified,Oct-11,Charged Off,debt_consolidation,Debt Consolidation and Payoffs,774xx,TX,13.96,1,Jan-04,3,2,0,15,0,4808,17.60%,25,0.0,0.0,13454.24,13454.24,5040.34,8413.9,0.0,0.0,0.0,Feb-13,841.24,,May-16,0,0,0.0
5783,979659,1202817,5000,5000,5000.0,36,12.42%,167.08,B,B4,ACA Financial Guaranty Corporation,10+ years,RENT,57000.0,Source Verified,Oct-11,Charged Off,moving,Moving,113xx,NY,13.89,1,Jan-93,3,8,0,13,0,3110,23.90%,14,0.0,0.0,3482.11,3482.11,2539.73,790.87,0.0,151.51,1.4098,Jun-13,167.08,,Nov-13,0,0,0.0
5787,979618,1202772,18500,18500,18475.0,36,7.90%,578.87,A,A4,Goel Services,< 1 year,RENT,85000.0,Verified,Oct-11,Charged Off,wedding,Wedding Loan,222xx,VA,12.83,0,Dec-95,1,0,0,12,0,13618,24.50%,30,0.0,0.0,3629.22,3624.35,2237.6,794.79,28.835816,568.0,5.99,May-12,250.0,,Aug-12,0,0,0.0
5791,918917,1139468,10000,10000,10000.0,36,16.29%,353.01,D,D1,AM Falero Insurance,5 years,MORTGAGE,120000.0,Not Verified,Oct-11,Charged Off,wedding,Wedding Loan,331xx,FL,12.84,0,Dec-02,2,0,0,18,0,21927,60.80%,24,0.0,0.0,8711.61,8711.61,5809.4,2296.26,0.0,605.95,5.9238,Oct-13,353.01,,Mar-14,0,0,0.0
5795,968567,1189548,6250,6250,6250.0,60,12.42%,140.36,B,B4,TowerBank,1 year,RENT,16000.0,Source Verified,Oct-11,Charged Off,small_business,Winning Loan,441xx,OH,17.4,0,Apr-93,0,26,0,5,0,5634,45.10%,14,0.0,0.0,893.73,893.73,306.72,253.44,0.0,333.57,60.0426,Feb-12,140.36,,Jul-12,0,0,0.0
5798,979778,1202929,7000,7000,7000.0,36,7.51%,217.78,A,A3,,,OWN,22800.0,Not Verified,Oct-11,Charged Off,other,Home Improvement,321xx,FL,22.05,0,May-98,1,0,0,8,0,7061,35.10%,20,0.0,0.0,5834.03,5834.03,4760.04,773.2,0.0,300.79,54.1422,Feb-14,242.52,,Apr-14,0,0,0.0
5799,979575,1202726,35000,35000,35000.0,36,10.65%,1140.07,B,B2,Smith & Nephew ,6 years,MORTGAGE,225000.0,Verified,Oct-11,Charged Off,debt_consolidation,Debt Consolidation Loan ,210xx,MD,8.96,0,Sep-95,3,0,0,13,0,18528,53.40%,48,0.0,0.0,35865.92,35865.92,29516.29,6328.84,0.0,20.79,0.0,Dec-14,1542.02,,May-16,0,0,0.0
5804,978077,1200907,8000,8000,8000.0,36,16.77%,284.31,D,D2,Fifth Third Bank,5 years,MORTGAGE,65000.0,Verified,Oct-11,Charged Off,debt_consolidation,Debt Cons,606xx,IL,3.01,0,Jul-07,1,0,0,5,0,6526,94.60%,8,0.0,0.0,4281.69,4281.69,2643.08,1330.96,0.0,307.65,3.11,Dec-12,284.31,,May-16,0,0,0.0
5806,979090,1202183,15000,15000,14750.0,60,14.27%,351.13,C,C2,Spokane Community College,9 years,MORTGAGE,55000.0,Source Verified,Oct-11,Charged Off,debt_consolidation,Blue Sky,992xx,WA,8.09,0,Apr-89,0,0,0,2,0,18591,88.50%,9,0.0,0.0,16857.35,16575.73,10410.96,5697.09,0.0,749.3,134.874,Oct-15,351.13,,May-16,0,0,0.0
5820,977981,1200792,17625,17625,17625.0,60,23.91%,506.12,G,G4,Fidelity - HRA,2 years,MORTGAGE,400000.0,Verified,Oct-11,Charged Off,other,Personal debt payments,775xx,TX,16.08,0,Dec-84,0,80,0,27,0,49238,93.50%,60,0.0,0.0,20896.16,20896.16,8674.89,10541.99,0.0,1679.28,302.2704,Feb-15,506.12,,Aug-15,0,0,0.0
5825,978944,1202004,8875,8875,8875.0,36,7.90%,277.71,A,A4,Centinela State Prison,10+ years,MORTGAGE,58044.0,Source Verified,Oct-11,Charged Off,debt_consolidation,My Loan,922xx,CA,19.43,0,Dec-98,3,0,0,11,0,11540,43.20%,30,0.0,0.0,3419.44,3419.44,2491.39,561.33,0.0,366.72,3.64,Sep-12,277.71,,Feb-13,0,0,0.0
5835,978722,1201792,5000,5000,5000.0,36,8.90%,158.77,A,A5,LendingClub,< 1 year,RENT,41000.0,Source Verified,Oct-11,Charged Off,credit_card,Pay off American Express,945xx,CA,8.78,0,Oct-03,1,0,0,6,0,5487,87.10%,13,0.0,0.0,4075.82,4075.82,3180.26,626.14,0.0,269.42,2.5034,Nov-13,158.77,,Mar-14,0,0,0.0
5858,978602,1201461,17000,17000,16750.0,60,11.71%,375.67,B,B3,"Walmart Stores, Inc.",10+ years,RENT,65000.0,Source Verified,Oct-11,Charged Off,debt_consolidation,Debt Loan,727xx,AR,16.3,0,Dec-01,0,76,0,12,0,12877,48%,29,0.0,0.0,12368.91,12187.01,6169.26,3589.84,0.0,2609.81,469.7658,Dec-13,375.67,,Mar-14,0,0,0.0
5863,978431,1201269,25000,25000,25000.0,60,21.67%,685.8,F,F3,Kirby school district 140,10+ years,MORTGAGE,66000.0,Source Verified,Oct-11,Charged Off,debt_consolidation,Debt Consolidation Loan,604xx,IL,12.75,0,Oct-97,0,0,0,10,0,17835,76.80%,17,0.0,0.0,33876.24,33876.24,17103.65,15111.75,0.0,1660.84,298.9512,Sep-15,685.8,,Jan-16,0,0,0.0
5865,978582,1201441,2500,2500,2500.0,36,16.77%,88.85,D,D2,Danya International,2 years,RENT,42000.0,Not Verified,Oct-11,Charged Off,other,Other Loan,209xx,MD,3.8,0,Oct-01,1,70,0,3,0,3467,47.50%,8,0.0,0.0,2430.53,2430.53,1668.76,630.94,0.0,130.83,1.2043,Dec-13,88.85,,May-14,0,0,0.0
5866,978511,1201556,3000,3000,3000.0,36,14.27%,102.93,C,C2,"LHK Partners, Inc",10+ years,MORTGAGE,80000.0,Not Verified,Oct-11,Charged Off,medical,med,189xx,PA,20.01,0,Apr-98,1,0,113,10,1,19478,85.10%,22,0.0,0.0,2357.5,2357.5,1759.72,597.78,0.0,0.0,0.0,Oct-13,102.93,,May-16,0,0,1.0
5867,978498,1201543,5200,5200,5200.0,60,17.27%,129.99,D,D3,University of Chicago,1 year,RENT,36000.0,Source Verified,Oct-11,Charged Off,credit_card,Debt Refinance/Volunteer Trip Financing,606xx,IL,19.4,0,Dec-98,3,36,0,11,0,5001,60.30%,23,0.0,0.0,1816.37,1816.37,712.03,837.41,0.0,266.93,2.22,Oct-12,129.99,,Mar-13,0,0,0.0
5900,978016,1200830,10000,10000,9875.0,60,19.03%,259.58,E,E2,Wells Real Estate Funds,9 years,RENT,60000.0,Source Verified,Oct-11,Charged Off,moving,Moving and Expenses,303xx,GA,23.12,2,Mar-00,0,18,0,9,0,6300,31.30%,13,0.0,0.0,2852.63,2817.1,1202.22,1650.41,0.0,0.0,0.0,Sep-12,259.58,,May-16,0,0,0.0
5904,977812,1200632,18000,18000,18000.0,60,17.58%,452.98,D,D4,Sweetwater School District #1,6 years,OWN,65000.0,Source Verified,Oct-11,Charged Off,debt_consolidation,Medical Bills,829xx,WY,22.73,0,Mar-00,3,0,0,13,0,20848,64.10%,39,0.0,0.0,5910.6,5910.6,2680.07,3196.22,22.62195001,11.69,0.0,Nov-12,452.98,,Mar-13,0,0,0.0
5926,977616,1200410,4500,4500,4500.0,36,12.42%,150.37,B,B4,Home Depot,10+ years,RENT,62000.0,Source Verified,Oct-11,Charged Off,other,Vehicle and ac repair,322xx,FL,15.23,0,Mar-02,0,0,0,7,0,7944,70.30%,13,0.0,0.0,2984.63,2984.63,2161.05,689.72,0.0,133.86,1.39,May-13,150.37,,Oct-13,0,0,0.0
5930,977431,1200238,18000,18000,18000.0,36,12.69%,603.81,B,B5,Milwaukee Fire Dept,3 years,MORTGAGE,85000.0,Not Verified,Oct-11,Charged Off,debt_consolidation,Debt Loan,532xx,WI,14.33,0,Jul-00,2,50,0,7,0,15732,66.90%,30,0.0,0.0,10890.2,10890.2,7644.92,2611.03,30.17195151,604.08,6.01,Mar-13,1237.81,,Aug-13,0,0,0.0
5932,977426,1200233,12000,12000,12000.0,60,13.49%,276.06,C,C1,Central California Athletics,2 years,RENT,32400.0,Not Verified,Oct-11,Charged Off,debt_consolidation,Consolidation Loan,933xx,CA,16.22,0,Jun-02,1,0,0,8,0,8347,48.20%,15,0.0,0.0,3094.66,3094.66,1327.55,1154.11,0.0,613.0,6.05,Jul-12,276.06,,Dec-12,0,0,0.0
5957,977211,1199990,8500,8500,8250.0,36,12.42%,284.03,B,B4,McConnaughy CPA,3 years,MORTGAGE,62400.0,Verified,Oct-11,Charged Off,debt_consolidation,Debt Consolidation,439xx,OH,8.94,1,Aug-01,0,22,0,5,0,3955,98.90%,11,0.0,0.0,6761.81,6562.94,4791.09,1454.07,0.0,516.65,5.1665,Aug-13,284.03,,Jan-14,0,0,0.0
5964,976164,1198310,21250,21250,21225.0,60,24.11%,612.68,G,G5,Kingsbrook Jewish Medical Center,5 years,RENT,80000.0,Verified,Oct-11,Charged Off,debt_consolidation,Debt Removal,112xx,NY,22.59,0,Oct-03,0,0,0,15,0,16687,98.20%,24,0.0,0.0,10258.65,10246.67,1380.65,5524.66,30.480934,3322.86,598.1148,Dec-13,150.78,,Dec-13,0,0,0.0
5967,976747,1199726,16000,16000,16000.0,60,13.49%,368.08,C,C1,Midwest Sports medicine,10+ years,RENT,33000.0,Not Verified,Oct-11,Charged Off,debt_consolidation,Chase,600xx,IL,18.36,0,Oct-98,1,28,0,6,0,4218,33.50%,21,0.0,0.0,5149.34,5149.34,2834.38,2314.96,0.0,0.0,0.0,Dec-12,368.08,,May-16,0,0,0.0
5968,973024,1194994,16000,16000,16000.0,60,16.29%,391.56,D,D1,Grand Rapids Public Schools,10+ years,MORTGAGE,66000.0,Verified,Oct-11,Charged Off,small_business,Small Business Loan,495xx,MI,28.53,0,Jun-94,6,0,0,7,0,39632,92.40%,22,0.0,0.0,8517.99,8517.99,3973.42,3853.18,0.0,691.39,6.913900004,Jun-13,391.56,,Nov-13,0,0,0.0
5982,976782,1199531,24000,24000,23925.0,60,14.65%,566.56,C,C3,Ernst & Young,10+ years,MORTGAGE,100000.0,Verified,Oct-11,Charged Off,credit_card,Help me get out of debt and start over,070xx,NJ,18.85,0,Jan-99,3,0,0,6,0,15293,71.80%,29,0.0,0.0,8046.03,8020.96,3512.61,3299.7,56.6058703,1177.12,11.5,Oct-12,1133.12,,Apr-15,0,0,0.0
5984,976592,1199353,2400,2400,2400.0,36,17.58%,86.27,D,D4,gibbons & gibbons pc,10+ years,MORTGAGE,31200.0,Source Verified,Oct-11,Charged Off,medical,medical,201xx,VA,6.31,1,Sep-94,2,23,0,4,0,5112,98.30%,7,0.0,0.0,503.88,503.88,262.02,167.48,0.0,74.38,0.81,Mar-12,86.27,,Aug-12,0,0,0.0
5988,976502,1199242,5500,5500,5500.0,36,11.71%,181.92,B,B3,Merritt's Ace Hardware,1 year,RENT,18000.0,Source Verified,Oct-11,Charged Off,car,Car Loan,917xx,CA,20.43,0,Jul-96,3,0,0,7,0,7015,53.10%,7,0.0,0.0,1708.56,1708.56,1060.27,393.09,0.0,255.2,2.48,Jun-12,181.92,,Nov-14,0,0,0.0
5992,976345,1109300,1550,1550,1550.0,36,15.27%,53.94,C,C4,,,RENT,12732.0,Verified,Oct-11,Charged Off,other,moving expenses,952xx,CA,8.86,0,Sep-08,3,0,0,5,0,1902,48.80%,6,0.0,0.0,317.58,317.58,175.49,94.21,0.0,47.88,0.54,Mar-12,53.94,,Aug-12,0,0,0.0
6006,976145,1198475,18000,18000,17750.0,36,10.65%,586.32,B,B2,"Paramount Group, Inc.",3 years,RENT,82500.0,Source Verified,Oct-11,Charged Off,debt_consolidation,Debt Consolidation & Education,100xx,NY,8.1,0,Aug-01,0,0,0,13,0,16161,36.40%,17,0.0,0.0,11311.58,11154.43,8279.99,2473.03,0.0,558.56,5.585600002,Nov-13,50.24,,Dec-13,0,0,0.0
6011,976108,1198433,7000,7000,7000.0,36,14.27%,240.17,C,C2,Verizon Wireless,3 years,RENT,33198.0,Not Verified,Oct-11,Charged Off,debt_consolidation,Credit for Debt Loan,284xx,NC,4.66,0,Jun-07,0,0,0,3,0,4444,83.80%,4,0.0,0.0,4535.79,4535.79,3122.4,1191.3,0.0,222.09,2.35,Apr-13,240.17,,Sep-13,0,0,0.0
6022,975109,1198010,14400,14400,14300.0,60,20.30%,383.92,E,E5,,,MORTGAGE,54000.0,Verified,Oct-11,Charged Off,credit_card,gold road,852xx,AZ,13.13,0,Jun-03,1,41,0,21,0,11356,42.10%,33,0.0,0.0,3829.9,3803.3,1511.31,2318.59,0.0,0.0,0.0,Aug-12,383.92,,Apr-16,0,0,0.0
6024,976025,1198339,24000,24000,24000.0,60,11.71%,530.36,B,B3,Opnet Technologies,1 year,MORTGAGE,140000.0,Verified,Oct-11,Charged Off,home_improvement,mes projets,945xx,CA,16.71,0,Aug-00,0,0,0,7,0,9720,81%,25,0.0,0.0,11851.24,11851.24,3092.23,2206.47,0.0,6552.54,859.5792,Aug-12,530.36,,Dec-12,0,0,0.0
6030,876147,1090740,10000,10000,10000.0,60,10.65%,215.69,B,B2,Charles river laboratories,3 years,RENT,60000.0,Not Verified,Oct-11,Charged Off,debt_consolidation,Consolidation,894xx,NV,24.34,0,Feb-98,2,0,0,9,0,9408,47.50%,28,0.0,0.0,9274.67,9274.67,6602.87,2659.76,0.0,12.04,2.1672,May-15,215.69,,Apr-16,0,0,0.0
6034,975798,1198133,9000,9000,9000.0,36,14.65%,310.45,C,C3,Fairchild Semiconductor,< 1 year,RENT,115000.0,Source Verified,Oct-11,Charged Off,debt_consolidation,CC,951xx,CA,1.37,0,Nov-05,1,0,0,5,0,6544,57.90%,7,0.0,0.0,8495.47,8495.47,6134.9,1932.44,31.03192616,397.1,3.971000001,Jan-14,310.45,,Oct-14,0,0,0.0
6038,975796,1103082,10400,10400,10400.0,60,21.67%,285.29,F,F3,Law Offices of Zara Jaxavier,2 years,MORTGAGE,90000.0,Verified,Oct-11,Charged Off,home_improvement,Home Improvements,112xx,NY,0.77,3,Mar-00,0,18,0,4,0,672,32%,33,0.0,0.0,2579.08,2579.08,400.19,739.73,0.0,1439.16,259.0488,Feb-12,285.29,,Jul-12,0,0,0.0
6039,974941,1197269,15000,15000,15000.0,36,12.69%,503.18,B,B5,solomon page group,4 years,RENT,150000.0,Source Verified,Oct-11,Charged Off,other,personal loan,100xx,NY,4.73,0,Jul-05,2,26,0,18,0,6135,14.60%,21,0.0,0.0,12863.55,12863.55,9346.32,2715.6,0.0,801.63,7.8723,Oct-13,503.18,,Apr-14,0,0,0.0
6042,975146,1198052,2000,2000,2000.0,36,11.71%,66.16,B,B3,Children's Vision First,2 years,RENT,30000.0,Not Verified,Oct-11,Charged Off,vacation,Debt Consolidation,941xx,CA,16.12,0,Apr-97,0,0,0,5,0,18608,75.30%,8,0.0,0.0,1185.66,1185.66,908.98,276.68,0.0,0.0,0.0,Apr-13,66.16,,May-16,0,0,0.0
6047,974952,1197282,3000,3000,3000.0,36,7.90%,93.88,A,A4,metro north railroad,10+ years,MORTGAGE,87000.0,Not Verified,Oct-11,Charged Off,other,home improvement,107xx,NY,18.03,0,Aug-99,0,0,0,12,0,42383,53.10%,25,0.0,0.0,1669.8,1669.8,1243.43,254.97,0.0,171.4,12.0456,Feb-13,93.88,,Apr-16,0,0,0.0
